Timestamp,AAPL,GOOGL,MSFT,NVDA
2023-01-03 09:00:00,128.9379,89.3675,239.9158,14.8406
2023-01-03 09:30:00,125.6163,89.3177,237.8455,14.5326
2023-01-03 10:00:00,124.158,88.769,236.4042,14.342
2023-01-03 10:30:00,124.2916,89.2728,236.2483,14.327
2023-01-03 11:00:00,124.0442,88.9486,234.9962,14.1861
2023-01-03 11:30:00,123.448,88.5396,234.8385,14.1291
2023-01-03 12:00:00,123.3663,88.4882,234.7893,14.1731
2023-01-03 12:30:00,123.2971,88.5346,234.8089,14.1878
2023-01-03 13:00:00,123.3563,88.6593,235.0751,14.269
2023-01-03 13:30:00,123.5197,88.8139,235.2033,14.2521
2023-01-03 14:00:00,123.2773,89.0583,235.1836,14.2173
2023-01-03 14:30:00,123.335,89.2349,236.0609,14.301
2023-01-03 15:00:00,123.3267,89.3077,236.0709,14.335
2023-01-03 15:30:00,123.7523,88.9087,236.1892,14.305
2023-01-03 16:00:00,123.683,88.9587,236.199,14.298
2023-01-03 16:30:00,123.7233,89.0084,236.3863,14.327
2023-01-03 17:00:00,123.5939,88.9685,236.1202,14.307
2023-01-03 17:30:00,123.6236,89.0384,236.1242,14.304
2023-01-03 18:00:00,123.6236,88.9785,236.0314,14.305
2023-01-03 18:30:00,123.6632,89.0384,236.5046,14.304
2023-01-03 19:00:00,123.8018,89.1581,236.6131,14.32
2023-01-03 19:30:00,123.7028,88.8488,237.4708,14.301
2023-01-04 09:00:00,125.5336,90.0259,228.7457,14.5449
2023-01-04 09:30:00,125.3456,88.3202,225.7782,14.5279
2023-01-04 10:00:00,124.6907,87.3675,223.9444,14.353
2023-01-04 10:30:00,125.6722,87.8413,224.3684,14.396
2023-01-04 11:00:00,126.0581,88.1506,224.9129,14.5868
2023-01-04 11:30:00,126.4441,88.4448,225.6204,14.6588
2023-01-04 12:00:00,126.736,88.4399,225.7831,14.6719
2023-01-04 12:30:00,125.9097,88.1556,224.7529,14.6388
2023-01-04 13:00:00,125.9394,88.2703,225.6254,14.7127
2023-01-04 13:30:00,125.8711,88.0109,225.3444,14.7387
2023-01-04 14:00:00,124.4203,87.4174,222.9684,14.5439
2023-01-04 14:30:00,125.1609,87.8912,224.8909,14.7597
2023-01-04 15:00:00,124.534,87.4922,224.4571,14.6568
2023-01-04 15:30:00,125.0685,87.8613,225.8669,14.7447
2023-01-04 16:00:00,124.8904,87.8314,225.581,14.7297
2023-01-04 16:30:00,124.8607,87.8014,225.9146,14.7297
2023-01-04 17:00:00,126.0977,88.0066,225.955,14.7597
2023-01-04 17:30:00,126.2164,87.9012,225.8669,14.7607
2023-01-04 18:00:00,125.8305,87.8214,225.3247,14.7347
2023-01-04 18:30:00,125.682,87.7815,225.3247,14.7367
2023-01-04 19:00:00,125.6722,87.7316,225.1965,14.7417
