"snapshot","n_rules","stream_step","file"
"final",1,NA,"C:/Users/USER/Downloads/organized_code2/outputs/agriculture/agriculture_rule_curves_final.png"
"max_rules",3,8,"C:/Users/USER/Downloads/organized_code2/outputs/agriculture/agriculture_rule_curves_max_rules.png"
"max_rules_compact",3,8,"C:/Users/USER/Downloads/organized_code2/outputs/agriculture/agriculture_rule_curves_max_rules_compact.png"
