"method","train.func.mse","test.func.mse","train.real.mse","test.real.mse","train.func.mse.c","test.func.mse.c","train.real.mse.c","test.real.mse.c","n.clu","rule.ave","rule.max","note"
"FFS-none",0.00952800988221105,0.0137005736307087,0.019636179583535,0.023867784004031,0.0109703858163059,0.0133026240663177,0.020942902120399,0.0232789261504313,1,1.31868131868132,3,NA
"FFS-ema",0.00951675391531401,0.0136942535165796,0.0196248613799875,0.0238614475152191,0.0109481185774444,0.0132901212318448,0.0209205117612072,0.0232663909225643,1,1.25274725274725,3,NA
"PLS-interaction(full)",0.018108031221025,0.0237619890733692,0.039605840859627,0.0531712557682931,NA,NA,NA,NA,NA,NA,NA,"collapsed_to_single_X, nbf_x=10, nbf_y=10"
"PLS-interaction(selected)",0.018108031221025,0.0237619890733692,0.039605840859627,0.0531712557682931,NA,NA,NA,NA,NA,NA,NA,"collapsed_to_single_X, nbf_x=10, nbf_y=10"
"PLS-main-only",0.018015498933484,0.0236693117133549,0.0393990290115998,0.0528140063702628,NA,NA,NA,NA,NA,NA,NA,"collapsed_to_single_X, nbf_x=10, nbf_y=10"
"fAPLS",0.0091316304638078,0.0159346198135039,0.0200994643649004,0.0350581678219617,NA,NA,NA,NA,NA,NA,NA,NA
"SLASSO",0.0188622415811197,0.0228683018362392,0.0411719917289367,0.0506062024408159,NA,NA,NA,NA,NA,NA,NA,NA
