"method","train.func.mse","test.func.mse","train.real.mse","test.real.mse","train.func.mse.c","test.func.mse.c","train.real.mse.c","test.real.mse.c","n.clu","rule.ave","rule.max","note"
"FFS-none",0.0341964224751393,0.0419367328363783,0.0391901299409598,0.0472213112085638,0.0363221815857631,0.0428707598034824,0.0417218867211574,0.048549613358007,2,3.89715536105033,7,NA
"FFS-ema",0.035361011100356,0.0369430960309445,0.040378388799506,0.0419844490228656,0.0377693879539069,0.0381630828774061,0.0430450987089717,0.0434522035899444,2,2.04157549234136,5,NA
"PLS-interaction(full)",0.0327196196191717,0.0440484308388573,0.0702398511728584,0.0963805137205488,NA,NA,NA,NA,NA,NA,NA,"collapsed_to_single_X, nbf_x=10, nbf_y=10"
"PLS-interaction(selected)",0.0327196196191717,0.0440484308388573,0.0702398511728584,0.0963805137205488,NA,NA,NA,NA,NA,NA,NA,"collapsed_to_single_X, nbf_x=10, nbf_y=10"
"PLS-main-only",0.032069767272979,0.0438709302452614,0.0687310915119745,0.0957445486941749,NA,NA,NA,NA,NA,NA,NA,"collapsed_to_single_X, nbf_x=10, nbf_y=10"
"fAPLS",0.0298885327981754,0.0442955178749913,0.0640669216112586,0.0965146789112656,NA,NA,NA,NA,NA,NA,NA,NA
"SLASSO",0.0323152883632079,0.046465948776978,0.0699816064628412,0.101462818991524,NA,NA,NA,NA,NA,NA,NA,NA
