"method","train.func.mse","test.func.mse","train.real.mse","test.real.mse","train.func.mse.c","test.func.mse.c","train.real.mse.c","test.real.mse.c","n.clu","rule.ave","rule.max","note"
"FFS-none",0.0101305752829447,0.0142584836164523,0.0202376182105958,0.0244226344858761,0.0119633732464231,0.0143534911849179,0.0219338740771417,0.0243234063971911,1,1.61538461538461,6,NA
"FFS-ema",0.00943936682294201,0.0138631897440464,0.019544782231043,0.0240285369230166,0.0113175285156993,0.0142399468647735,0.0212873044601408,0.0242114679909635,1,1.58241758241758,6,NA
"PLS-interaction(full)",0.0183184962658114,0.0210208432083043,0.0401264159304337,0.0471553241253801,NA,NA,NA,NA,NA,NA,NA,"collapsed_to_single_X, nbf_x=10, nbf_y=10"
"PLS-interaction(selected)",0.0183184962658114,0.0210208432083043,0.0401264159304337,0.0471553241253801,NA,NA,NA,NA,NA,NA,NA,"collapsed_to_single_X, nbf_x=10, nbf_y=10"
"PLS-main-only",0.0181438415190093,0.0216220484224547,0.0397411332300087,0.0490055702284113,NA,NA,NA,NA,NA,NA,NA,"collapsed_to_single_X, nbf_x=10, nbf_y=10"
"fAPLS",0.00980819635309168,0.0146777785250607,0.021508260781777,0.0323090653269851,NA,NA,NA,NA,NA,NA,NA,NA
"SLASSO",0.0185052416280943,0.0208263897199153,0.0404896415271956,0.0461996110961519,NA,NA,NA,NA,NA,NA,NA,NA
