"method","train.func.mse","test.func.mse","train.real.mse","test.real.mse","train.func.mse.c","test.func.mse.c","train.real.mse.c","test.real.mse.c","n.clu","rule.ave","rule.max","note"
"FFS-none",0.00952800988221105,0.0137005736307087,0.019636179583535,0.023867784004031,0.0109703858163059,0.0133026240663177,0.020942902120399,0.0232789261504313,1,1.31868131868132,3,NA
"FFS-ema",0.00951675391531401,0.0136942535165796,0.0196248613799875,0.0238614475152191,0.0109481185774444,0.0132901212318448,0.0209205117612072,0.0232663909225643,1,1.25274725274725,3,NA
"PLS-interaction(full)",0.0191602712441939,0.0237602616394286,0.0420250907959911,0.0531802934487889,NA,NA,NA,NA,NA,NA,NA,"collapsed_to_single_X, nbf_x=10, nbf_y=10"
"PLS-interaction(selected)",0.0191602712441939,0.0237602616394286,0.0420250907959911,0.0531802934487889,NA,NA,NA,NA,NA,NA,NA,"collapsed_to_single_X, nbf_x=10, nbf_y=10"
"PLS-main-only",0.0189468928114214,0.0237624668212038,0.0415809833732891,0.053188255772894,NA,NA,NA,NA,NA,NA,NA,"collapsed_to_single_X, nbf_x=10, nbf_y=10"
"fAPLS",0.0091316304638078,0.0159346198135039,0.0200994643649004,0.0350581678219617,NA,NA,NA,NA,NA,NA,NA,NA
"SLASSO",0.0208527170693097,0.0229100863068632,0.0456047633727307,0.0508279650059975,NA,NA,NA,NA,NA,NA,NA,NA
"OVGLASSO(Bernardi)",0.0746130018565364,0.0805486369851352,0.150578211837985,0.161307533910484,NA,NA,NA,NA,NA,NA,NA,NA
