"method","train.func.mse","test.func.mse","train.real.mse","test.real.mse","train.func.mse.c","test.func.mse.c","train.real.mse.c","test.real.mse.c","n.clu","rule.ave","rule.max","note"
"FFS-none",0.0336952673066892,0.0399407462108072,0.0385030595289289,0.0449598360613384,0.0352985904975458,0.041099441108497,0.0404441359419148,0.0464155990411678,4,3.44857768052516,6,NA
"FFS-ema",0.0353302718534824,0.0368937458206473,0.040352990924059,0.0419403877763024,0.037706497133109,0.038091823750757,0.0429794385397971,0.0433779382025388,2,2.04157549234136,5,NA
"PLS-interaction(full)",0.0320238726704196,0.0439456452273152,0.0684971569321482,0.0959570000250152,NA,NA,NA,NA,NA,NA,NA,"collapsed_to_single_X, nbf_x=10, nbf_y=10"
"PLS-interaction(selected)",0.0320238726704196,0.0439456452273152,0.0684971569321482,0.0959570000250152,NA,NA,NA,NA,NA,NA,NA,"collapsed_to_single_X, nbf_x=10, nbf_y=10"
"PLS-main-only",0.0313163387176146,0.0439485500490032,0.0670356094544641,0.0958823617094437,NA,NA,NA,NA,NA,NA,NA,"collapsed_to_single_X, nbf_x=10, nbf_y=10"
"fAPLS",0.0313739835012392,0.0442955178749913,0.0672756246626488,0.0965146789112656,NA,NA,NA,NA,NA,NA,NA,NA
"SLASSO",0.0325776297223508,0.0482527271555162,0.0708803541707001,0.105268101710476,NA,NA,NA,NA,NA,NA,NA,NA
