"snapshot","n_rules","stream_step","file"
"final",2,NA,"C:/Users/USER/Downloads/organized_code2/outputs/stock/stock_rule_curves_final.png"
"max_rules",5,6,"C:/Users/USER/Downloads/organized_code2/outputs/stock/stock_rule_curves_max_rules.png"
"max_rules_compact",5,6,"C:/Users/USER/Downloads/organized_code2/outputs/stock/stock_rule_curves_max_rules_compact.png"
